"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"myrcga",-0.26248224815581,-0.0779667943058574,0.0448107609132208,-0.0198341428023633,-0.0827972629385549,0.239870340183013,0.354149690728801
"nectci",0.00527840150310177,-0.0811036918719228,0.0426725846682772,-0.0198341428023633,-0.0827972629385549,0.224311370774774,0.511207963832213
"nectgl",0.0355680589651608,-0.0912911065400162,0.041945809150396,-0.0198341428023633,-0.0827972629385549,0.284134025573112,0.432333785224399
"nectpu",-0.0893893225523017,-0.0909132474196075,0.0403943949302277,-0.0198341428023633,-0.0827972629385549,0.168889264536083,0.526654870481603
"neeaam",-1.08681952694991,-0.0588167373545703,0.0393712657678868,-0.0198341428023633,-0.0827972629385549,0.198622661044918,0.0712244711902304
"ocotce",-0.269729789199045,-0.0857313965236129,0.0352598376126084,-0.0198341428023633,-0.0827972629385549,0.138399149432757,0.315688894304952
"ocotob",0.2786238311938,-0.102412287825611,0.04153098310589,-0.0198341428023633,-0.0827972629385549,0.174364107809423,0.6036263183072
"ocotpu",0.0421739395582611,-0.0911063210241062,0.0506994689284258,-0.0198341428023633,-0.0827972629385549,0.29426071417926,0.461006403042273
"ocotwh",0.140204530610838,-0.107772963286711,0.0471016365841854,-0.0198341428023633,-0.0827972629385549,0.142239009008418,0.392004995359206
"olmeas",-0.753209772027188,-0.0510445373067872,0.0367914871785526,-0.0198341428023633,-0.0827972629385549,-0.0848302028253789,0.315165547410941
"ormocr",-0.622936611472471,-0.0888966863446775,0.0417935655149581,-0.0198341428023633,-0.0827972629385549,-0.0953884147324183,0.190621835075988
"ormoma",-1.11528817470493,-0.0654972792205719,0.0462867923163259,-0.0198341428023633,-0.0827972629385549,0.0547158757715007,0.127454851026141
"ouralu",-1.48855545190129,-0.0375309677845444,0.0344535801487321,-0.0198341428023633,-0.0827972629385549,-0.146149864482587,0.146201215814553
"paligu",0.773563027335407,-0.117914171615672,0.0516510611371527,-0.0198341428023633,-0.0827972629385549,0.42781202699632,0.519220297389925
"pentma",-1.16914583271197,-0.0391475358842753,0.0318263031464535,-0.0198341428023633,-0.0827972629385549,-0.12158828280507,0.270851576121865
"perexa",-0.722599029011583,-0.0485948378278855,0.0298496453030959,-0.0198341428023633,-0.0827972629385549,0.122822848711288,0.355730358900063
"phoeci",-0.00661036954755567,-0.0884081258282837,0.0389060926129818,-0.0198341428023633,-0.0827972629385549,0.262138118984162,0.557637547628418
"picrla",-0.993193425181724,-0.0689661169179612,0.0315299286698897,-0.0198341428023633,-0.0827972629385549,0.14965534273339,0.095174374136543
"pipeco",-0.692572083158762,-0.063384278728643,0.0443290551105515,-0.0198341428023633,-0.0827972629385549,0.146930207840473,0.326989457264125
"pipere",-0.730263737359471,-0.050187574790654,0.033000068578136,-0.0198341428023633,-0.0827972629385549,0.11136255104479,0.343475407187123
"pit1ma",0.0849667589769046,-0.0991577049698159,0.0439931186831255,-0.0198341428023633,-0.0827972629385549,0.216721983739468,0.479668982815396
"pla1pi",-0.718827499275124,-0.0619351000672437,0.0406265098883296,-0.0198341428023633,-0.0827972629385549,0.0716620810999016,0.261012936724948
"pla2el",-0.684716834796161,-0.0632277820510318,0.0335849684448832,-0.0198341428023633,-0.0827972629385549,0.109396394658644,0.23265939467147
"pochse",-1.0691508386747,-0.0445036256965507,0.0373348866103896,-0.0198341428023633,-0.0827972629385549,0.0523397476027636,0.249222604098408
"posola",-0.988169151728881,-0.0734676138749259,0.0287331227293834,-0.0198341428023633,-0.0827972629385549,-0.0736994907361415,0.33270402274028
"poular",-0.429230487045498,-0.0691603847371447,0.0288389790532247,-0.0198341428023633,-0.0827972629385549,-0.0936175680896098,0.527998039915909
"pourbi",0.10046240486341,-0.0917688679936121,0.0394139845919384,-0.0198341428023633,-0.0827972629385549,0.245500779861531,0.576132514789803
"poutre",-0.94041511200711,-0.0471212142363662,0.0310553769680747,-0.0198341428023633,-0.0827972629385549,0.384379013547599,0.357447014168246
"poutst",-0.96634809408245,-0.0318975165035829,0.0218659620771604,-0.0198341428023633,-0.0827972629385549,-0.0245173368254258,0.31088991059543
"pri2co",-0.958156531027517,-0.0923182246070478,0.0463876247030581,-0.0198341428023633,-0.0827972629385549,0.568982131256314,0.0378189243736024
"protco",-0.490962732137295,-0.0683781102422793,0.0214710340932356,-0.0198341428023633,-0.0827972629385549,-0.188632733412653,0.683231028248192
