"x","y","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
895,5,2.00112722567101,696.346430696407,334.057644981417,141.488301912444,6.19236551585813,2978.44332536499
905,5,1.99265998475094,709.116012188565,332.084455044411,140.178068420794,6.17954614060651,2988.74218209867
915,5,1.99697581142901,721.631733079859,318.729155393375,137.924160344347,6.16821640508508,3003.97468001878
925,5,2.01635320636253,732.039000082928,299.048673522324,134.342910343802,6.16046620662597,3025.81317896155
935,5,2.04591381291283,739.543455142159,281.09069255342,129.489124556712,6.15851094738904,3052.12642575555
945,5,2.08697372945195,743.869782998305,266.138463760664,124.407778479897,6.16418564651733,3081.84694672001
955,5,2.09856285180893,739.989088536224,256.450339363381,120.58892631708,6.17834230462619,3118.47585764592
965,5,2.09530553680072,729.55930135179,249.113130855014,118.82415684139,6.20042605743994,3161.66541631529
975,5,2.08933039740593,716.625719436801,242.124310035476,119.109466973074,6.22857454554164,3212.46698189311
985,5,2.08748796509894,701.165271219231,236.345844488096,121.254648823225,6.26025131205469,3273.88623293701
995,5,2.06007932642744,680.903090464693,235.691867905738,125.024137551822,6.29304645470547,3343.3563422381
5,15,2.19562257328573,744.424782284931,232.385511961871,89.498089251711,5.72255228001163,1666.6680371239
15,15,2.26751573943309,753.696242378207,223.400777541526,88.1444088600577,5.72819896452501,1650.23221640531
25,15,2.31631032530178,763.475914672185,213.390511940902,86.5074350574071,5.73409775134894,1630.26600370256
35,15,2.36225117278268,770.012539456641,204.564317220318,85.3779257991107,5.739229229151,1612.61670576499
45,15,2.40847179347167,774.233505089087,197.517285114022,84.7940907759718,5.74224296434268,1595.48588176341
55,15,2.45234112430577,780.968988445623,195.971548257393,84.238616550437,5.7419724012086,1574.73090015546
65,15,2.51436423551588,789.293936731527,199.799359365716,83.5563290418208,5.73800494599892,1547.14922797818
75,15,2.58282070052396,796.165669137147,207.355556237942,82.9954968680762,5.7309402988855,1517.39973215614
85,15,2.63989677987713,802.422797992715,219.563365038886,82.5819889155465,5.72224360272095,1489.35767776415
95,15,2.66358373243222,809.679743129919,240.15194735673,82.0416076998164,5.71389040802319,1463.82307729787
105,15,2.65184109273676,817.081767767919,265.667901878903,81.24788887555,5.70799729622525,1441.25596233841
115,15,2.61914173768774,822.550645612953,286.539004160302,80.3631743989691,5.70650747431239,1429.20749228191
125,15,2.57124999755451,826.284067090823,302.70046372042,79.5798522592149,5.71095955335811,1427.25091391958
135,15,2.50954647391446,829.666302587096,320.104304309519,78.9087347202993,5.72233745019084,1431.82123383346
145,15,2.44861638395863,832.288477328519,337.932834527202,78.1426855612781,5.74091993444477,1441.96947729446
155,15,2.39572811601758,830.298792250181,351.946118970316,77.1813852953817,5.76608591433354,1461.64684345007
165,15,2.35508098461987,824.332664381193,362.584977680375,76.5049994944509,5.79623559022387,1488.30980341173
175,15,2.32308589298301,817.612101226813,374.70285825704,76.7974239417661,5.82905363417999,1518.29680669878
185,15,2.30207309115895,809.741783726158,389.978971064032,78.0804458067952,5.86208852660316,1552.30447460265
195,15,2.29919556705698,801.059818780874,395.579142807223,79.6602184441315,5.89336693773394,1587.53340229451
205,15,2.30633253268301,792.739284692215,394.137887877868,80.7264669373518,5.92178598688788,1622.20151965945
215,15,2.30494455380714,785.866297128461,397.020418575624,80.846091179289,5.94718513462432,1654.09766533798
225,15,2.29815985899669,780.50688426704,403.875759785023,80.1878013701105,5.97010495894781,1683.73437843607
235,15,2.28561621848457,774.901596962545,406.663047244704,79.4268974124892,5.99130338201276,1712.31056648512
245,15,2.25472229326141,768.085612994096,403.041663865149,79.3751573067978,6.01118735272262,1742.01215889137
255,15,2.22983793008735,760.224456712271,401.460855548374,80.4701451183655,6.0293948360015,1772.30443542988
265,15,2.2150844616064,751.966509804853,401.181971460953,82.2912416839941,6.04474706056898,1800.8275141327
275,15,2.17367518928102,745.634997316641,382.976122593225,83.6952922637195,6.05566182230136,1818.41312872068
285,15,2.11897865604163,743.425711339498,357.373253535013,83.6518357504126,6.06088609326302,1824.65847719651
295,15,2.06793663625148,743.752475370099,347.581050273992,82.0333798824013,6.06017765378119,1822.20301922259
305,15,2.02886511279397,745.15992841203,346.414141861409,79.7277947456429,6.05455121376116,1813.19860256091
315,15,2.03877084186042,745.62454208857,339.817911588988,77.9987205462843,6.04597414982892,1803.36785259669
325,15,2.08880885941385,744.068012432009,330.248652394117,77.7916630677879,6.03671013333806,1792.69402659257
335,15,2.13420734096009,741.612839897125,325.568932235154,79.4126016201821,6.02860883928542,1781.96999732484
345,15,2.1621439403898,737.604267779412,323.466693647056,82.346195531451,6.02259383022817,1769.96838969552
355,15,2.16788235197834,733.479214932764,317.180183100152,85.6038116850237,6.01853966299012,1762.30938966859
365,15,2.15632826192842,728.563001742656,310.374793538514,88.586957931473,6.01561298637781,1757.98064417201
375,15,2.16345985565342,724.129654179962,313.304899513786,91.2066854332265,6.01293803904535,1755.27272837582
385,15,2.19336487337565,720.832172901637,322.337632305281,93.199398939054,6.01021480531938,1755.76676192801
395,15,2.21348765042973,718.615262258753,317.781540859768,94.109381221017,6.00790659090917,1753.66834711148
405,15,2.22593487559506,717.37726821618,305.851677298186,94.0850546795574,6.00692944844771,1750.3062661083
415,15,2.24675082050506,716.303513934539,305.566325561473,93.7251665130626,6.00810956959381,1748.57552223153
425,15,2.28114817462855,715.090301937996,312.423898681252,93.1853023504882,6.01173706282812,1751.15923367861
435,15,2.2409636671621,713.43867172565,314.942184280094,92.2803288183637,6.01741304595121,1756.15916690037
445,15,2.15300450862926,711.210417038075,314.808996314197,91.264659196098,6.0242308811055,1765.0206371876
455,15,2.08858094305909,708.52642506206,323.695543030433,90.8147684312522,6.03118147336586,1778.27332883235
465,15,2.04452137096613,705.985731438354,338.82412195654,91.4141789944406,6.0375330385926,1796.67419033716
475,15,2.06489967012365,702.149907822601,341.221920000652,93.2375666662302,6.04295937719638,1818.46910793709
485,15,2.12137515027938,697.011712213093,338.860021929803,96.3616689348362,6.04743234937779,1843.41956055853
495,15,2.1662668943193,691.295284801781,344.028554040886,100.643265449381,6.05107210064669,1872.03120817614
505,15,2.20317507397811,686.862646458663,352.787088616218,105.2387053843,6.05407246542817,1901.00453160407
515,15,2.20668080599606,683.317360213945,350.362820408381,108.663992470127,6.05668219940192,1927.10585796636
525,15,2.18798271308693,680.659586888691,341.681877667372,109.908186916111,6.05920985013104,1949.61817866665
535,15,2.1976809260098,679.668000270575,346.124720759398,109.146262580447,6.06204663208364,1970.68704168512
545,15,2.22902367398252,679.904396522147,359.645308583414,107.365026554432,6.06566359179537,1992.23554104035
555,15,2.25743409690567,681.01845841265,367.990685325497,105.679649698217,6.07052422494871,2013.67071132428
565,15,2.2837191775055,682.870805334987,371.838543144533,104.776139512453,6.07693817281547,2033.05089687728
575,15,2.29543708594901,685.53917858459,381.224768982773,104.774999732299,6.08494993655283,2049.87088103694
585,15,2.28166598718613,689.465801644727,396.68014717181,105.432456277776,6.09430920227477,2066.93323848594
595,15,2.26959154524777,692.164987610445,402.441748354192,106.559941180318,6.10450346623369,2081.20144243055
605,15,2.26446141581965,693.188564375076,401.938030839249,108.331364672545,6.11484936503982,2094.82706244906
615,15,2.25692447289956,693.882507854355,411.159874419436,111.00490754135,6.12466232605919,2109.67657062515
625,15,2.2608627455038,695.29179839045,425.21523796303,114.23221988897,6.13347554911786,2124.68212009571
635,15,2.26530284764858,696.463864777588,420.502078285853,116.969857584355,6.14123055704097,2138.52442819397
645,15,2.27000651038623,697.110991097478,403.92834671171,118.298491673719,6.14837410489641,2152.49182858586
655,15,2.26964474939228,697.211833722937,391.138500263432,118.169518241536,6.1558046426332,2168.7952671176
665,15,2.25752327521271,696.702956395295,380.64587518801,117.304881117217,6.16460309467955,2186.93008360881
675,15,2.22764858064647,694.891722834666,369.818422524557,116.420463296344,6.17558399731524,2211.2279688818
685,15,2.19537484338078,691.007870654106,362.061981904155,115.667011655655,6.18890031377947,2242.42425079693
