"gx","gy","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
689,470,5.49,1080,126.1,51.1,4.73,212
709,10,2.47,721.3,582.1,120.4,6.25,2792.7
709,50,1.36,874.6,401.3,114.6,5.93,1673.2
710,91,3.04,721.4,333.9,219,6.12,2148.6
709,130,5.94,966.8,375.4,246.9,5.82,1719.7
709,170,3.35,694.4,292.4,57.7,6.14,1765.6
709,210,2.97,928.1,347.2,136.3,6.08,1341.2
709,250,3.5,984,498.8,83,6.07,2479.4
709,290,10.41,762.5,295.6,184.5,6.23,1553.4
709,330,5.24,912.7,408.5,93.8,6.16,2379.8
709,370,3.88,597.6,273.2,102.9,6.25,2636.2
709,410,34.9,922.5,143.4,181.4,5.42,1082.7
704,450,3.29,625.3,141.4,58.7,5.49,1077
709,490,3.1,676,205.4,88.7,6,1453
729,30,3.14,447.6,345.7,88.5,6.79,4045.7
729,70,2.06,771.9,262.1,214.4,6.83,1951.9
729,110,1.87,807.5,304.4,128.7,6.2,1437.4
729,150,2.25,561.8,174.2,66.3,6.26,1223.5
729,190,2.94,572.1,242.4,87.1,6.02,1484.9
729,230,12.52,768.6,188.5,161.7,6.05,1498.4
729,270,7.71,635.1,270.4,192.2,6.46,2140.5
729,310,12.32,1186.7,184.9,65.6,4.56,579.8
729,350,5.55,811.4,224.2,112.2,5.56,1104.7
729,390,4.02,1181.6,360,97.7,5.5,1241.4
729,430,3.42,1029.2,356.7,66.1,5.31,855.3
729,470,4.56,717.2,252.9,128.7,5.98,1850.3
749,10,2.16,738.3,393.2,83.2,5.89,1663.5
749,50,1.98,696.5,279.9,124.1,6.26,1948.4
749,90,4.42,574.8,435.4,206.7,6.42,3388.9
749,130,2.14,991.2,556.2,120.3,5.95,1759.1
749,170,4.24,913.9,311.4,61,4.82,563.3
749,210,5.83,706.4,283.4,259.4,6.55,3050
750,251,4.17,542,603.3,93.9,7.17,6332.4
749,290,5.04,617.8,233.5,125.4,5.91,1490.2
749,330,4.16,927.3,499.6,129.6,6.01,1923.4
749,370,2.12,831.6,328.8,79.2,6.18,1521.3
749,410,3.66,818.8,268.8,85.1,5.84,1400.9
749,450,5.85,1062.9,198.6,218.9,5.11,552.5
750,491,3.59,552,219.3,57.1,6.52,3408.3
769,30,1.66,613.1,246,62.8,6.32,1655.5
769,70,2.6,597.9,256.1,160.7,6.32,2026.1
769,110,2.13,602.9,318.9,76.9,6.61,1838.1
769,150,2.57,870.2,281.8,61.5,5.19,487.8
769,190,2.88,503.4,308.8,108.2,6.18,2054.1
769,230,3.31,565.5,217.3,128.2,6.49,2012.7
769,270,5.01,1007.2,275.7,122,5.09,596.3
769,310,3.57,573.6,251.8,79.2,6.15,2034.4
769,350,3.88,621.2,273.6,103,5.97,1524.9
769,390,2.54,909.8,565.1,186.5,6.23,2221
769,430,5.64,1112.4,391.2,127.3,5.2,1032.8
769,470,3.87,927.8,194.2,59.5,4.93,554.5
785,11,6.75,413.7,210.7,129.8,6.21,4784.4
789,50,3,267,355.1,103.6,6.98,4778.6
789,90,4.03,516.6,157.9,49.5,5.54,1170.1
789,130,16.83,618.1,428.3,212.3,6.42,3758.8
789,170,3.93,669,317,111.2,6.2,1958.3
789,210,2.6,772.3,269.2,81.9,6.31,1798.4
789,250,2.68,1095.5,405.3,96.3,5.81,1463.5
789,290,2.72,875.1,290,236,6.11,836.7
789,330,5.31,888.4,504.5,197.7,6.39,1727.8
789,370,3.14,715.7,263.5,166.5,5.89,1101.4
789,410,5.42,989.5,360.8,333.7,5.9,1784.9
789,450,4.51,1114.1,232.4,70.7,4.68,372.7
789,490,3.62,676.7,203.9,67.8,5.56,1522.3
809,30,1.95,736.3,103.3,100.8,5.85,3596.7
809,70,2.46,499.8,222.9,133.8,6.68,2903.7
809,110,2.7,429.9,151.8,131.4,5.87,1805.3
809,150,2.44,334.9,133.9,135.4,6.67,2724.5
809,190,3.2,677,196.4,72,5.88,1721.7
809,230,1.73,541.3,231.3,44.3,6.07,1390.4
809,270,3.45,778.7,235.1,79.2,5.7,1256.4
809,310,1.81,906.1,465.9,132.9,5.09,758.3
809,350,2.41,656.9,282,60.8,5.66,1179.3
809,390,2.6,799.8,542,118.7,6.35,2591.4
809,430,3.46,735.2,427.5,177.1,6.09,1487.2
810,471,2.05,607.3,143.4,69.2,5.7,988.1
829,10,2.35,668.8,290.2,63.8,6.2,5381.2
829,50,2.84,820.8,433.9,264.4,6.11,2360.6
829,90,1.93,825.6,349.5,114.2,5.83,1381.7
829,130,1.73,1006.4,316.4,158.7,5.83,1406.6
829,170,2.02,646.9,156,47.6,5.59,719
829,210,3.49,693.1,144.2,66.5,5.93,735.4
829,250,2.6,882.6,458.4,204,6.3,1785.4
829,290,1.97,631.1,184.4,67.9,5.44,667.6
829,330,2.5,626.3,333.9,204.8,6.52,1946.6
829,370,2.08,750.4,298.3,47.7,6.09,946.2
829,410,4.06,484,238.8,136.5,6.66,1942.2
824,450,2.49,516.8,181.8,189,5.98,1132.6
830,491,3.22,337.9,152.2,124.5,6.17,2123.2
849,30,2.15,528.3,250.8,149.1,6.32,3446.1
849,70,1.18,915.8,324.1,64.3,5.62,883
849,110,1.87,615,250.6,104.1,6.16,2043.2
849,150,2.48,329.4,89.6,159.2,6.02,1790.4
849,190,1.9,599.2,273.9,63.5,5.46,1006.7
849,230,0.96,495.5,276.8,49.3,6.6,1824.6
849,270,2.18,406.9,159.6,135.4,6.16,1892.1
850,311,2.91,451.6,267.6,257.8,6.51,2436.8
850,351,2.44,418.7,157.5,60.5,6.14,1610.8
849,390,2.52,935.8,424.3,133.3,5.72,1310.7
849,430,2.24,1049.6,288.1,55.2,5.36,1003.1
849,470,4.89,513,212.4,226.8,6.43,2389.6
869,10,2.21,707.5,529.2,194.3,6.02,2207.1
869,50,2.12,688.5,448.7,140.7,6.17,2803.8
870,91,3.22,503.3,404,163.4,6.64,4081.3
869,130,2.47,809.3,419.5,98.2,6.02,2845
869,170,3.1,814.8,243.5,95.6,5.21,1307.2
869,210,1.13,624.6,182,192.9,5.86,1181.4
869,250,2.04,582.6,346.3,87.8,6.44,2650.4
870,291,2.34,568,232.6,120,5.84,1548.1
869,330,2.29,987.3,424.2,49.4,5.18,1101.5
869,370,1.6,414.3,117.1,91.5,6.35,2162.9
869,410,2.71,558.9,199.8,79.5,5.83,1113.4
869,450,1.5,405,147,148.8,5.98,1615.9
869,490,1.92,486.4,194.6,216.2,6.31,1637.1
889,30,1.36,505.4,237.7,157.1,6.54,2212.7
889,70,1.84,572.3,284.2,142,6.35,2498.7
889,110,2.25,862,253.7,105.3,5.86,757.1
889,150,1.33,563.6,263.4,83.5,6.14,1594
889,190,2.64,419.9,150.9,258.3,6.58,2598.3
890,231,1.93,390.2,192.6,115.4,6.55,2589.5
889,270,1.72,370.2,227.5,153.9,6.46,3135.8
889,310,1.72,413.8,166.3,112.3,5.69,1276.9
889,350,1.92,322.2,144.3,192.6,6.33,2302.9
889,390,2.1,747.3,316.4,152,5.89,1995.5
889,430,1.97,681.9,398.6,212,6.22,1651.2
889,470,1.8,449.7,252.5,191,6.35,2674
909,10,1.75,775.4,478.8,152.6,6.06,3225.9
909,50,1.4,1051.2,373.9,75.6,5.69,1750.5
909,90,1.45,842,452.8,248.6,6.01,1527.4
911,130,2.18,1122,297.6,75.9,6.33,1081.8
909,170,1.96,657.2,338,85.6,6.02,1608.3
910,211,1.82,527.5,204,159.8,6,2031.5
909,250,2.98,738,363.1,201.4,5.93,3151.5
909,290,2.73,412.5,178.1,149.7,6.07,2289.5
909,330,2.4,646,373.1,104.2,5.93,2321.1
909,370,1.47,608.7,250,101.3,6.01,1783.8
909,410,2.37,379.4,262.5,92.3,6.43,2163.7
904,450,1.45,503.5,253.5,115.7,6.35,2266.4
909,485,1.49,427.9,123.4,59.1,5.82,1545.3
929,30,2.7,811.9,158.1,226.8,5.91,3556.1
929,70,2.21,922.3,185.6,87.4,5.75,1372.4
929,110,2.68,707.8,216,50.2,5.58,1462.5
929,150,1.43,854.5,221.8,38.4,5.52,1279.1
929,190,1.46,638,261.4,95.5,5.66,1172.5
929,230,1.89,477.8,160.2,111.2,6.11,1959.8
929,270,1.82,466.7,151.8,88.9,6.11,2608.9
