"Latin","occur","Inter","Moist","Al","Ca","Fe","K","P","Zn","N"
"Amaioua corymbosa (Rubiaceae)",32,0.76395171530214,-0.47858885296245,0.255592497284071,-0.654135848546526,-0.382438078383296,-0.0383675349030831,-0.901041126744799,0.0906944580689169,0.0246875536175159
"Amaioua magnicarpa (Rubiaceae)",6,-3.72303961416697,2.14926302476963,-0.051715582701857,-0.521740092798118,0.250226381566586,-0.0539335799729795,-1.06263588869309,0.142966459756237,0.0530773273306114
"Amphitecna spathicalyx (Bignoniaceae)",4,-3.57779880193572,1.75717726346514,-0.105153211672242,-0.37753842650566,-0.0530112795903106,-0.15501862266313,-0.874582210273891,0.209986785238016,0.0534603729055141
"Ampelocera edentula (Ulmaceae)",3,-3.85050865284116,1.95337147114909,0.0388724706350376,-0.0183417758136145,-0.217451198963897,0.173650205827139,-0.907085760901009,0.0972717831286469,0.0276160959933336
"Anacardium excelsum (Anacardiaceae)",42,1.05910237301004,-0.595881118980682,-0.220079260293407,0.633951839419541,-0.0443845161047701,0.402336067186492,0.827901628840407,0.161070191438041,0.0550332753631733
"Anaxagorea allenii (Annonaceae)",4,-3.24813509072178,1.69071821269585,0.040165435572964,-0.558784004680094,0.0287056697216508,-0.0901575313237832,-1.22436353691507,0.161466088939589,0.0616297833550585
"Andira inermis (Fabaceae-papilionoideae)",32,0.705040918732351,0.422543685484577,-0.424312386987948,0.0105011280726413,0.0729474054534476,0.0573555868809387,-0.484585353950354,0.296526300423375,0.062388217308429
"Annona acuminata (Annonaceae)",9,-1.58924106613292,1.33766082432654,0.0169274311037328,0.474948100547862,-0.490648599116409,0.0075896012876167,0.95982276284094,0.0826405012534345,0.0517703405499597
"Annona hayesii (Annonaceae)",26,0.0466547511673478,-2.00786570649582,0.273828957462093,0.00228707718595852,0.0796582038020861,0.180513097358554,-0.0902980511682119,0.211933442110752,0.0130451001183424
"Annona montana (Annonaceae)",3,-3.75125681358709,1.72969423080848,-0.0626625458572945,-0.284888979494082,-0.205470425324011,0.120376868951714,-1.2625070596104,0.15409245785053,0.0304285151387946
"Annona purpurea (Annonaceae)",7,-2.69159233442975,-1.73295160058879,0.0394058421729071,0.0475268393038014,-0.110873109414632,-0.00898309119714948,0.705398645740147,0.149009316901615,0.0504980724313711
"Annona spraguei (Annonaceae)",35,0.681616137851776,-0.534405430658255,0.360110347970129,0.00552133115440015,0.00180986581810469,0.501330873914798,0.324525683961889,0.186323946189647,0.0230192884068666
"Pittoniotis trichantha (Rubiaceae)",21,-1.86611539105811,-2.26717544173522,-0.404764008192588,0.571225472790389,-0.0178658299138069,0.46161276868657,0.850878178363103,0.205280620593329,0.0526542679241869
"Apeiba membranacea (Malvaceae)",23,0.545657076130682,1.81107442512724,-0.419804150797852,-0.492153056037386,-0.282748645091341,0.373574568535657,-1.0307608041628,0.191679839113705,0.0556202160556394
"Apeiba tibourbou (Malvaceae)",25,0.353614846871223,0.867695077701477,-0.323326202598046,-0.221693022213798,-0.0547965828144083,-0.233815412261135,-0.73640946896186,0.219064739645174,0.0929435644263382
"Aphelandra scabra (Acanthaceae)",4,-3.26406975377347,1.62461804175275,0.00864381640246806,-0.299064630628651,-0.168458603180154,0.00440267803347261,-1.43720666280461,0.165287375990061,0.0397795682186753
"Aphelandra gracilis (Acanthaceae)",3,-3.04151856160804,-0.982572092464803,-0.00447646734845374,-0.35544053230516,0.0972420113428225,0.127843479650047,0.190492152716763,0.192597483450033,0.0376164642691573
"Aphelandra sinclairiana (Acanthaceae)",7,-1.73504287092235,1.35481240736271,0.178152507205007,-0.329461960598232,-0.0418998047545862,-0.102136831687945,1.00441566862519,0.144727208490629,0.0569589524700451
"Appunia seibertii (Rubiaceae)",4,-2.36440262834937,0.244124418609029,0.18962512741906,0.203628085077173,-0.0924259299486379,-0.0309526207860914,-0.719090561603903,0.188774865628822,0.0808596325318208
"Ardisia bartlettii (Myrsinaceae)",9,-2.01494892552845,2.25955629365786,0.573775413560901,-0.175793412092455,-0.219829226751656,-0.0610146681871446,-0.240604062227977,0.208439806282598,0.0125818631290876
"Ardisia standleyana (Myrsinaceae)",7,-1.57293802203894,1.25559906957995,0.242161061425178,-0.502754535760728,-0.237437103186586,-0.0742430724067704,-0.766647165414095,0.14508113503914,0.0522086811796488
"Ardisia glomerata (Myrsinaceae)",3,-3.44118600358446,1.83347549671977,-0.0185675982591545,-0.425974795656908,0.0334297345804311,-0.0513810057704511,-0.986958877800616,0.160292717734491,0.0440322508371358
"Aspidosperma spruceanum (Apocynaceae)",32,0.762958710154537,0.802584505242321,-0.492020534394944,-0.489147908377285,-0.247055840817859,-0.182284617146256,-1.20584857133428,0.143159310776575,0.00616523451482454
"Aspidosperma megalocarpon (Apocynaceae)",5,-3.41621120925134,1.17029020414315,0.0782753080004681,-1.03144730035743,-0.0859453124501944,0.0624921014561939,-1.21021646540407,0.0916799467603509,0.0412190009618337
"Astrocaryum alatum (Arecaceae)",6,-3.25567534033591,2.13027391721695,0.0242472129654785,-0.341477556459137,-0.0381183654262618,0.0194646244651572,-1.51360205083814,0.145590428202202,0.0343336866778354
"Astrocaryum standleyanum (Arecaceae)",41,1.37623253584406,-0.397735324720297,0.119788086422917,0.0243547182519575,-0.151004560563663,0.416067811193137,0.42676936847412,0.0522488295384184,0.0371025302197378
"Astronium graveolens (Anacardiaceae)",28,-0.345580519703826,-1.62986496995536,-0.452904244762269,-0.192018341519435,-0.226456755803106,0.200152062415778,0.684671178291095,0.149157299542782,-0.0165826007358587
"Bactris barronis (Arecaceae)",40,1.57322690100375,0.487862359739387,0.0788462014964716,-0.708682211982151,-0.244653748714087,0.477466315067485,-0.457384483293967,0.179963229978878,-0.0233069755316639
"Bactris coloniata (Arecaceae)",21,0.264453273546593,0.749618488129196,-0.316733073716706,-0.675527269722762,-0.315861797361042,-0.0432108641377425,-0.279095839019259,0.211537282175397,0.0504405767951374
"Bactris coloradonis (Arecaceae)",22,0.216514085687044,0.669478677513594,-0.440177216038582,-0.684690074842566,-0.217514191094532,0.0865592466691668,-0.611814684988795,0.12453069281558,0.013050798877501
